Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
25,160,70,M,41,L,TRUE,15
18,177,79,M,43,NA,FALSE,14
19,177,63,M,42,L,FALSE,15
20,174,92,M,44,XL,FALSE,14
18,155,50,F,36,S,FALSE,15
19,175,72,M,40.5,NA,FALSE,14
19,155,60,F,37,S,FALSE,15
19,164,62,F,39,S,TRUE,15
19,179,57,M,40,M,FALSE,13
21,174,79,M,43,L,FALSE,13
18,158,63,M,40,M,TRUE,15
19,152,58,F,35,M,FALSE,16
17,172,70,M,44,S,FALSE,14
23,173,68,M,42,M,FALSE,14
NA,180,NA,M,44,XXL,TRUE,13
17,160,60,F,37,NA,FALSE,16
21,176,69,M,43,L,FALSE,14
18,160,53,F,38,S,FALSE,16
18,170,60,M,40,M,FALSE,14
19,171,65,M,42,M,FALSE,14
19,165,71,M,41,L,TRUE,13
19,164,57,M,42,NA,FALSE,15
19,175,63,M,42,M,FALSE,15
21,185,86,M,45,L,TRUE,13
20,172,70,M,41,NA,TRUE,14
19,161,58,F,37,XS,NA,15
18,155,47,M,37,S,TRUE,16
17,175,56,M,42,M,FALSE,12
21,167,60,M,40,M,FALSE,14
